Key,Marginal_Cost_(EUR/MWh),Capacity_(MWh),%_Price-setting
import_from_de,39.804898219884485,4449.0,43.710045662100455
energy_power_combined_cycle_network_gas,55.55991065174544,4968.000000000001,26.71232876712329
energy_power_ultra_supercritical_cofiring_coal,49.19195786202083,1606.9565217391312,10.74200913242009
energy_chp_ultra_supercritical_coal,30.804426650741302,802.0173913043474,4.794520547945205
energy_chp_ultra_supercritical_cofiring_coal,56.09104407503158,474.3078260869564,4.06392694063927
energy_chp_combined_cycle_network_gas,78.69308664535065,3035.752572247012,4.052511415525114
energy_power_ultra_supercritical_coal,26.601544901268653,1224.0,3.4817351598173514
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,1.9292237442922375
agriculture_chp_engine_network_gas,80.99843915348838,2489.0,0.3538812785388128
energy_power_ultra_supercritical_network_gas,82.90674097761817,3456.0,0.10273972602739725
buildings_collective_chp_network_gas,80.99843915348838,570.6666434588851,0.05707762557077625
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,22.99871652571429,0.0,0.0
energy_power_combined_cycle_ccs_coal,29.187890212819237,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,69.77840112578693,0.0,0.0
energy_power_combined_cycle_coal,26.25933794726519,0.0,0.0
energy_power_engine_diesel,216.67700113684205,0.0,0.0
energy_power_engine_network_gas,69.4389508146818,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,33.75770391749033,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_turbine_network_gas,97.98438693690373,194.69387755102053,0.0
energy_power_ultra_supercritical_ccs_coal,35.71161118886705,0.0,0.0
energy_power_ultra_supercritical_crude_oil,135.76585118830104,0.0,0.0
energy_power_ultra_supercritical_lignite,21.161376960000002,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,25.003913798390467,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,80.99843915348838,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,88.95859137291838,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,92.3950931080551,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,98.7516009911203,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,38.13924470098841,0.0,0.0
emergency_price,"","",0.0
