Key,Marginal_Cost_(EUR/MWh),Capacity_(MWh),%_Price-setting
import_from_de,54.63234696026888,5049.0,43.618721461187214
energy_power_combined_cycle_network_gas,63.776916767418975,4968.000000000001,23.755707762557076
energy_power_ultra_supercritical_cofiring_coal,59.13205445656694,1606.9565217391312,11.15296803652968
energy_chp_ultra_supercritical_coal,51.67730849104646,802.0173913043474,5.034246575342466
buildings_collective_chp_network_gas,80.99843915348838,570.6666434588851,4.805936073059361
energy_power_ultra_supercritical_coal,44.751876936316606,1224.0,4.7716894977168955
agriculture_chp_engine_network_gas,80.99843915348838,2489.0,2.865296803652968
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,2.4885844748858448
energy_chp_ultra_supercritical_cofiring_coal,67.37439696613798,474.3078260869564,0.9474885844748858
energy_chp_combined_cycle_network_gas,90.43166681059854,3035.752572247012,0.3881278538812785
energy_power_ultra_supercritical_network_gas,95.23225015112845,3456.0,0.17123287671232876
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,49.04718016,0.0,0.0
energy_power_combined_cycle_ccs_coal,32.54545833726511,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,71.28764714703307,0.0,0.0
energy_power_combined_cycle_coal,44.69013868925651,0.0,0.0
energy_power_engine_diesel,216.67700113684205,0.0,0.0
energy_power_engine_network_gas,79.7102084592737,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,56.949794851162736,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_turbine_network_gas,112.4849859645629,194.69387755102053,0.0
energy_power_ultra_supercritical_ccs_coal,39.18078822603689,0.0,0.0
energy_power_ultra_supercritical_crude_oil,150.88070958830104,0.0,0.0
energy_power_ultra_supercritical_lignite,43.95378263999999,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,29.48766573543965,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,80.99843915348838,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,101.3347374178268,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,92.3950931080551,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,112.43049925128226,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,65.96975382139527,0.0,0.0
emergency_price,"","",0.0
